"","EXPERIMENT","MODEL","RUN","TRNO","DATE","DAS","DAP","L#SD","GSTD","LAID","LWAD","SWAD","GWAD","RWAD","VWAD","CWAD","G#AD","GWGD","HIAD","PWAD","P#AD","WSPD","WSGD","NSTD","PST1A","PST2A","KSTD","EWSD","LN%D","SH%D","HIPD","PWDD","PWTD","SLAD","CHTD","CWID","NWAD","RDPD","RL1D","RL2D","RL3D","RL4D","RL5D","RL6D","RL7D","RL8D","SNW0C","SNW1C","planting","location","cultivar","density","nitrogen","harvest"
"2239","UFEG0318","CRGRO048",16,11,2020-04-10,101,41,8.5,8,1.107,536,424,0,275,960,960,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,206.6,0.65,0.2,0,1,0.75,0.75,0.75,0.37,0.36,0.21,0.08,0.03,13,22,"01-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2240","UFEG0318","CRGRO048",17,11,2021-04-13,103,43,8.7,8,1.304,692,567,0,357,1259,1259,0,0,0,0,20,0,0,0,0,0,0,0,5.02,0,0,0,0,188.5,0.62,0.2,0,1,0.96,0.96,0.96,0.48,0.47,0.27,0.11,0.05,20,27,"01-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2241","UFEG0318","CRGRO048",18,11,2022-04-11,101,41,8.5,8,1.184,628,507,0,324,1134,1135,0,0,0,0,3,0,0,0,0,0,0,0,5.01,0,0,0,0,188.6,0.63,0.2,0,1,0.87,0.87,0.87,0.43,0.42,0.25,0.1,0.05,16,24,"01-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2242","UFEG0318","CRGRO048",19,11,2023-04-12,102,42,8.8,8,1.366,668,538,0,341,1207,1207,0,0,0,0,34,0,0,0,0,0,0,0.084,5.04,0,0,0,0,204.4,0.69,0.2,0,1,0.92,0.92,0.87,0.46,0.45,0.26,0.11,0.05,21,29,"01-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2243","UFEG0318","CRGRO048",20,12,2005-04-26,116,46,8.9,8,0.968,509,422,0,266,930,930,0,0,0,0,3,0,0,0,0,0,0,0,5.05,0,0,0,0,190.3,0.65,0.2,0,1,0.72,0.72,0.71,0.36,0.35,0.2,0.08,0.04,17,21,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2244","UFEG0318","CRGRO048",21,12,2006-04-24,114,44,8.9,8,1.576,829,681,0,429,1510,1510,0,0,0,0,15,0,0,0,0,0,0,0,5.02,0,0,0,0,190.1,0.66,0.2,0,1,1.15,1.15,1.15,0.57,0.56,0.33,0.14,0.07,25,33,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2245","UFEG0318","CRGRO048",22,12,2007-04-24,114,44,8.8,8,0.847,406,324,0,205,729,730,0,0,0,0,20,0,0,0,0,0,0,0,5.02,0,0,0,0,208.7,0.64,0.2,0,1,0.56,0.56,0.52,0.27,0.27,0.16,0.07,0.03,12,18,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2246","UFEG0318","CRGRO048",23,12,2008-04-21,112,42,8.5,8,0.886,476,386,0,244,862,862,0,0,0,0,11,0,0,0,0,0,0,0.085,5,0,0,0,0,186.1,0.61,0.2,0,0.98,0.68,0.68,0.58,0.33,0.32,0.19,0.08,0.03,12,19,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2247","UFEG0318","CRGRO048",24,12,2009-04-21,111,41,8.4,8,0.964,491,387,0,248,878,878,0,0,0,0,5,0,0,0,0,0,0,0,4.99,0,0,0,0,196.4,0.61,0.2,0,1,0.67,0.67,0.67,0.33,0.32,0.19,0.08,0.04,11,18,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2248","UFEG0318","CRGRO048",25,12,2010-04-27,117,47,9.1,8,1.446,740,611,0,384,1351,1351,0,0,0,0,29,0,0,0,0,0,0,0,5.03,0,0,0,0,195.5,0.67,0.2,0,1,1.02,1.02,1.02,0.5,0.5,0.29,0.13,0.07,25,31,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2249","UFEG0318","CRGRO048",26,12,2011-04-22,112,42,8.6,8,1.609,842,682,0,436,1524,1525,0,0,0,0,36,0,0,0,0,0,0,0,5.01,0,0,0,0,191.2,0.66,0.2,0,1,1.18,1.18,1.17,0.58,0.57,0.33,0.14,0.06,23,33,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2250","UFEG0318","CRGRO048",27,12,2012-04-19,110,40,8.5,8,1.421,742,596,0,385,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,191.5,0.61,0.2,0,1,1.04,1.04,1.04,0.52,0.51,0.29,0.12,0.05,18,29,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2251","UFEG0318","CRGRO048",28,12,2013-04-24,114,44,8.7,8,1.481,748,606,0,383,1354,1354,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,198,0.67,0.2,0,1,1.06,1.06,1.03,0.5,0.49,0.28,0.12,0.05,21,32,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2252","UFEG0318","CRGRO048",29,12,2014-04-23,113,43,8.7,8,1.237,635,517,0,330,1152,1152,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,194.9,0.63,0.2,0,1,0.9,0.9,0.84,0.45,0.44,0.25,0.1,0.05,17,26,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2253","UFEG0318","CRGRO048",30,12,2015-04-20,110,40,8.7,8,1.381,703,580,0,365,1283,1284,0,0,0,0,35,0,0,0,0,0,0,0,5.01,0,0,0,0,196.4,0.69,0.2,0,1,0.98,0.98,0.97,0.49,0.48,0.28,0.12,0.06,21,28,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2254","UFEG0318","CRGRO048",31,12,2016-04-18,109,39,8.3,8,1.066,564,456,0,289,1020,1020,0,0,0,0,3,0,0,0,0,0,0,0,4.99,0,0,0,0,189,0.59,0.2,0,0.99,0.79,0.79,0.75,0.38,0.38,0.22,0.09,0.04,12,20,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2255","UFEG0318","CRGRO048",32,12,2017-04-25,115,45,9.1,8,1.57,819,686,0,430,1506,1506,0,0,0,0,29,0,0,0,0,0,0,0.075,5.04,0,0,0,0,191.7,0.68,0.2,0,1,1.16,1.16,1.07,0.58,0.57,0.33,0.14,0.07,29,37,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2256","UFEG0318","CRGRO048",33,12,2018-04-25,115,45,8.9,8,1.664,871,722,0,452,1593,1594,0,0,0,0,14,0,0,0,0,0,0,0,5.02,0,0,0,0,191,0.67,0.2,0,1,1.21,1.21,1.15,0.6,0.59,0.35,0.15,0.07,27,36,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2257","UFEG0318","CRGRO048",34,12,2019-04-20,110,40,8.5,8,0.986,483,387,0,245,870,870,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,204.2,0.66,0.2,0,1,0.66,0.66,0.66,0.33,0.32,0.18,0.08,0.03,12,18,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2258","UFEG0318","CRGRO048",35,12,2020-04-17,108,38,8.3,8,1.202,569,437,0,287,1005,1005,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,211.3,0.65,0.2,0,1,0.78,0.78,0.78,0.39,0.38,0.22,0.09,0.03,11,23,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2259","UFEG0318","CRGRO048",36,12,2021-04-23,113,43,8.9,8,1.349,678,557,0,349,1236,1236,0,0,0,0,28,0,0,0,0,0,0,0,5.02,0,0,0,0,198.9,0.69,0.2,0,1,0.95,0.95,0.86,0.47,0.46,0.27,0.11,0.05,21,30,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2260","UFEG0318","CRGRO048",37,12,2022-04-20,110,40,8.5,8,1.297,676,540,0,346,1215,1215,0,0,0,0,6,0,0,0,0,0,0,0,4.99,0,0,0,0,192,0.62,0.2,0,1,0.94,0.94,0.94,0.46,0.46,0.26,0.11,0.04,16,26,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2261","UFEG0318","CRGRO048",38,12,2023-04-20,110,40,8.4,8,1.352,666,534,0,340,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0.008,4.99,0,0,0,0,203.2,0.65,0.2,0,1,0.93,0.93,0.87,0.45,0.44,0.26,0.11,0.05,15,27,"15-March","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2262","UFEG0318","CRGRO048",39,13,2005-05-14,134,43,8.9,8,1.163,595,494,0,308,1090,1090,0,0,0,0,12,0,0,0,0,0,0,0,5.01,0,0,0,0,195.4,0.68,0.2,0,1,0.85,0.85,0.82,0.41,0.4,0.23,0.09,0.04,19,25,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2263","UFEG0318","CRGRO048",40,13,2006-05-10,130,39,8.2,8,1.563,826,644,0,420,1469,1469,0,0,0,0,8,0,0,0,0,0,0,0,4.99,0,0,0,0,189.3,0.61,0.2,0,0.99,1.14,1.14,1.11,0.56,0.56,0.32,0.13,0.05,17,30,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2264","UFEG0318","CRGRO048",41,13,2007-05-12,132,41,8.6,8,0.818,372,293,0,188,665,665,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,220.1,0.65,0.2,0,0.98,0.52,0.52,0.48,0.26,0.25,0.14,0.05,0.02,9,16,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2265","UFEG0318","CRGRO048",42,13,2008-05-12,133,42,8.8,8,1.553,811,669,0,421,1480,1480,0,0,0,0,9,0,0,0,0,0,0,0,5.01,0,0,0,0,191.5,0.66,0.2,0,1,1.14,1.14,1.13,0.56,0.55,0.32,0.13,0.06,24,32,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2266","UFEG0318","CRGRO048",43,13,2009-05-12,132,41,8.7,8,1.547,780,642,0,406,1422,1422,0,0,0,0,14,0,0,0,0,0,0,0,5.02,0,0,0,0,198.3,0.67,0.2,0,1,1.09,1.09,1.07,0.54,0.53,0.31,0.13,0.07,22,31,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2267","UFEG0318","CRGRO048",44,13,2010-05-11,131,40,8.6,8,1.308,648,527,0,333,1175,1175,0,0,0,0,30,0,0,0,0,0,0,0.008,5,0,0,0,0,201.9,0.68,0.2,0,1,0.91,0.91,0.88,0.44,0.43,0.26,0.1,0.04,17,25,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2268","UFEG0318","CRGRO048",45,13,2011-05-09,129,38,8.4,8,1.67,858,678,0,437,1536,1536,0,0,0,1,47,0,0,0,0,0,0,0,4.99,0,0,0,1,194.6,0.66,0.2,0,0.99,1.19,1.19,1.19,0.59,0.58,0.33,0.13,0.05,19,33,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2269","UFEG0318","CRGRO048",46,13,2012-05-10,131,40,8.7,8,1.494,767,617,0,394,1384,1384,0,0,0,0,21,0,0,0,0,0,0,0,5.01,0,0,0,0,194.8,0.66,0.2,0,1,1.06,1.06,1.02,0.53,0.52,0.3,0.12,0.06,21,31,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2270","UFEG0318","CRGRO048",47,13,2013-05-09,129,38,8.1,8,1.437,758,581,0,378,1339,1339,0,0,0,0,23,0,0,0,0,0,0,0,4.97,0,0,0,0,189.7,0.58,0.2,0,0.96,1.05,1.05,0.98,0.49,0.5,0.29,0.11,0.04,14,29,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2271","UFEG0318","CRGRO048",48,13,2014-05-10,130,39,8.4,8,1.439,738,593,0,377,1331,1331,0,0,0,0,33,0,0,0,0,0,0,0,4.99,0,0,0,0,195,0.65,0.2,0,1,1.02,1.02,0.98,0.51,0.5,0.29,0.12,0.05,16,28,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2272","UFEG0318","CRGRO048",49,13,2015-05-07,127,36,7.9,8,1.281,650,490,0,325,1140,1140,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,196.9,0.58,0.2,0,0.97,0.89,0.89,0.88,0.44,0.43,0.25,0.1,0.03,9,23,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2273","UFEG0318","CRGRO048",50,13,2016-05-10,131,40,8.6,8,1.8,960,778,0,492,1739,1739,0,0,0,0,15,0,0,0,0,0,0,0,5.01,0,0,0,0,187.4,0.65,0.2,0,1,1.33,1.33,1.27,0.66,0.65,0.38,0.16,0.08,26,38,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2274","UFEG0318","CRGRO048",51,13,2017-05-11,131,40,8.7,8,1.509,790,654,0,408,1444,1444,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,190.9,0.66,0.2,0,1,1.14,1.14,1.11,0.52,0.51,0.3,0.13,0.06,21,34,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2275","UFEG0318","CRGRO048",52,13,2018-05-10,130,39,8.4,8,1.646,848,670,0,433,1518,1518,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,194.1,0.63,0.2,0,1,1.19,1.19,1.13,0.56,0.56,0.33,0.14,0.06,20,33,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2276","UFEG0318","CRGRO048",53,13,2019-05-09,129,38,8.4,8,1.13,547,433,0,274,980,980,0,0,0,0,0,0,0,0,0,0,0,0.127,4.98,0,0,0,0,206.5,0.65,0.2,0,1,0.78,0.78,0.73,0.34,0.33,0.2,0.09,0.04,12,25,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2277","UFEG0318","CRGRO048",54,13,2020-05-06,127,36,8.1,8,1.015,511,400,0,256,910,911,0,0,0,0,12,0,0,0,0,0,0,0,4.97,0,0,0,0,198.6,0.62,0.2,0,0.95,0.72,0.72,0.66,0.34,0.34,0.2,0.08,0.02,9,18,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2278","UFEG0318","CRGRO048",55,13,2021-05-10,130,39,8.5,8,1.652,825,657,0,419,1482,1483,0,0,0,0,29,0,0,0,0,0,0,0,5,0,0,0,0,200.2,0.67,0.2,0,1,1.13,1.13,1.11,0.56,0.55,0.32,0.14,0.06,20,30,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2279","UFEG0318","CRGRO048",56,13,2022-05-10,130,39,8.6,8,1.515,753,610,0,390,1363,1363,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,201,0.67,0.2,0,1,1.05,1.05,1.05,0.52,0.51,0.3,0.12,0.05,19,29,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2280","UFEG0318","CRGRO048",57,13,2023-05-08,128,37,8.2,8,1.275,657,525,0,336,1182,1183,0,0,0,0,25,0,0,0,0,0,0,0,4.98,0,0,0,0,193.9,0.62,0.2,0,0.93,0.98,0.98,0.87,0.43,0.44,0.25,0.1,0.02,13,25,"01-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2281","UFEG0318","CRGRO048",58,14,2005-05-26,146,41,8.7,8,1.293,645,533,0,334,1178,1178,0,0,0,0,27,0,0,0,0,0,0,0.072,5.01,0,0,0,0,200.4,0.7,0.2,0,1,0.92,0.92,0.9,0.42,0.44,0.26,0.11,0.04,19,26,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2282","UFEG0318","CRGRO048",59,14,2006-05-23,143,38,8.2,8,1.54,781,601,0,395,1383,1383,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,197,0.63,0.2,0,0.98,1.09,1.09,1.07,0.53,0.52,0.3,0.12,0.04,15,33,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2283","UFEG0318","CRGRO048",60,14,2007-05-23,143,38,8.3,8,0.836,373,287,0,185,660,660,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,224.3,0.63,0.2,0,1,0.52,0.52,0.48,0.24,0.24,0.14,0.06,0.02,8,16,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2284","UFEG0318","CRGRO048",61,14,2008-05-26,147,42,8.7,8,1.83,933,761,0,482,1694,1694,0,0,0,0,14,0,0,0,0,0,0,0,5.01,0,0,0,0,196.2,0.69,0.2,0,1,1.32,1.32,1.29,0.64,0.59,0.38,0.16,0.07,26,40,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2285","UFEG0318","CRGRO048",62,14,2009-05-24,144,39,8.6,8,1.403,641,498,0,310,1138,1138,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,218.9,0.71,0.2,0,0.97,0.96,0.96,0.73,0.38,0.39,0.22,0.09,0.02,17,42,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2286","UFEG0318","CRGRO048",63,14,2010-05-22,142,37,8.2,8,1.383,688,535,0,349,1223,1223,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,201,0.64,0.2,0,0.96,0.97,0.97,0.94,0.48,0.46,0.26,0.1,0.03,13,26,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2287","UFEG0318","CRGRO048",64,14,2011-05-21,141,36,7.9,8,1.664,867,649,0,433,1516,1517,0,0,0,0,30,0,0,0,0,0,0,0,4.97,0,0,0,0,191.9,0.58,0.2,0,0.98,1.18,1.18,1.18,0.58,0.57,0.33,0.13,0.05,14,30,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2288","UFEG0318","CRGRO048",65,14,2012-05-21,142,37,8.1,8,1.267,626,487,0,320,1113,1113,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,202.3,0.63,0.2,0,0.96,0.89,0.89,0.83,0.44,0.43,0.24,0.09,0.03,11,24,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2289","UFEG0318","CRGRO048",66,14,2013-05-22,142,37,8.3,8,1.539,792,626,0,398,1418,1418,0,0,0,0,0,0,0,0,0,0,0,0.126,4.99,0,0,0,0,194.3,0.62,0.2,0,0.98,1.13,1.13,1.09,0.5,0.5,0.29,0.12,0.05,17,35,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2290","UFEG0318","CRGRO048",67,14,2014-05-23,143,38,8.4,8,1.633,854,677,0,434,1530,1531,0,0,0,0,33,0,0,0,0,0,0,0,4.99,0,0,0,0,191.3,0.64,0.2,0,0.99,1.18,1.18,1.12,0.59,0.58,0.33,0.13,0.05,19,32,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2291","UFEG0318","CRGRO048",68,14,2015-05-21,141,36,8.2,8,1.417,725,575,0,371,1300,1300,0,0,0,0,32,0,0,0,0,0,0,0,4.98,0,0,0,0,195.5,0.64,0.2,0,0.95,1.03,1.03,0.95,0.51,0.5,0.28,0.11,0.03,14,27,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2292","UFEG0318","CRGRO048",69,14,2016-05-24,145,40,8.6,8,1.621,835,656,0,419,1491,1491,0,0,0,0,10,0,0,0,0,0,0,0.096,5,0,0,0,0,194.2,0.67,0.2,0,0.99,1.22,1.22,1.17,0.51,0.53,0.29,0.12,0.05,21,43,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2293","UFEG0318","CRGRO048",70,14,2017-05-23,143,38,8.3,8,1.68,856,679,0,439,1535,1535,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,196.3,0.66,0.2,0,0.97,1.21,1.21,1.17,0.59,0.58,0.33,0.13,0.04,19,32,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2294","UFEG0318","CRGRO048",71,14,2018-05-22,142,37,8.3,8,1.289,594,444,0,287,1039,1039,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,217,0.66,0.2,0,0.95,0.86,0.86,0.75,0.35,0.37,0.21,0.08,0.02,13,33,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2295","UFEG0318","CRGRO048",72,14,2019-05-22,142,37,8.4,8,1.321,644,516,0,327,1159,1159,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,205.2,0.67,0.2,0,0.93,0.96,0.96,0.85,0.42,0.42,0.24,0.09,0.02,14,24,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2296","UFEG0318","CRGRO048",73,14,2020-05-21,142,37,8.3,8,1.261,609,469,0,304,1078,1078,0,0,0,0,15,0,0,0,0,0,0,0.034,4.99,0,0,0,0,207.2,0.67,0.2,0,0.95,0.85,0.85,0.83,0.4,0.41,0.23,0.08,0.02,13,25,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2297","UFEG0318","CRGRO048",74,14,2021-05-21,141,36,8.1,8,1.395,694,538,0,353,1231,1231,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0,201.2,0.62,0.2,0,0.96,0.98,0.98,0.93,0.47,0.47,0.27,0.1,0.03,12,26,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2298","UFEG0318","CRGRO048",75,14,2022-05-22,142,37,8.3,8,1.567,783,628,0,400,1412,1412,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,200,0.66,0.2,0,0.99,1.11,1.11,1.04,0.51,0.52,0.31,0.13,0.05,17,32,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2299","UFEG0318","CRGRO048",76,14,2023-05-22,142,37,8.2,8,1.818,926,716,0,465,1642,1643,0,0,0,0,43,0,0,0,0,0,0,0,4.99,0,0,0,0,196.4,0.63,0.2,0,0.95,1.31,1.26,1.2,0.65,0.64,0.36,0.14,0.04,20,38,"15-April","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2300","UFEG0318","CRGRO048",77,15,2005-06-08,159,38,8.6,8,1.321,610,466,0,294,1076,1076,0,0,0,0,42,0,0,0,0,0,0,0,4.99,0,0,0,0,216.6,0.76,0.2,0,0.96,0.89,0.89,0.75,0.37,0.37,0.21,0.08,0.02,15,36,"01-May","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2301","UFEG0318","CRGRO048",78,15,2006-06-07,158,37,8.2,8,1.399,701,546,0,356,1247,1247,0,0,0,0,0,0,0,0,0,0,0,0.02,4.98,0,0,0,0,199.5,0.65,0.2,0,0.98,0.98,0.98,0.95,0.47,0.47,0.27,0.11,0.04,14,27,"01-May","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2302","UFEG0318","CRGRO048",79,15,2007-06-06,157,36,8.2,8,0.851,374,282,0,183,655,655,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,227.5,0.63,0.2,0,0.97,0.53,0.53,0.5,0.24,0.23,0.14,0.05,0.02,7,16,"01-May","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2303","UFEG0318","CRGRO048",80,15,2008-06-08,160,39,8.3,8,1.823,923,719,0,468,1642,1642,0,0,0,0,42,0,0,0,0,0,0,0,4.99,0,0,0,0,197.6,0.66,0.2,0,0.97,1.31,1.31,1.27,0.62,0.61,0.35,0.14,0.05,21,36,"01-May","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
"2304","UFEG0318","CRGRO048",81,15,2009-06-06,157,36,8.2,8,1.02,477,374,0,233,851,851,0,0,0,0,0,0,0,0,0,0,0,0.147,4.98,0,0,0,0,213.6,0.67,0.2,0,0.85,0.78,0.78,0.57,0.27,0.28,0.16,0.05,0,10,23,"01-May","Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","224 Kg/ha (200 LB/acre)","Flowering"
