,X,CWAD,GWAD,DAS,DAP,location,cultivar,density,nitrogen,harvest,planting
16009,16009,959,116,290,138,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16010,16010,1217,136,292,140,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16011,16011,935,86,294,142,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16012,16012,902,111,289,137,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16013,16013,933,101,288,136,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16014,16014,1051,117,290,138,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16015,16015,1053,118,294,142,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16016,16016,1245,148,290,138,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16017,16017,745,97,290,138,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16018,16018,1037,129,289,137,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16019,16019,1188,139,291,139,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16020,16020,892,99,289,137,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16021,16021,703,103,288,136,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16022,16022,882,91,289,137,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16023,16023,1004,124,295,143,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/01/2024
16024,16024,642,79,300,134,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16025,16025,969,124,302,136,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16026,16026,1034,122,304,138,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16027,16027,1012,112,302,136,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16028,16028,1243,133,301,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16029,16029,1136,144,300,134,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16030,16030,810,97,301,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16031,16031,1098,135,304,138,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16032,16032,701,89,306,140,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16033,16033,854,110,301,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16034,16034,832,92,299,133,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16035,16035,973,108,301,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16036,16036,927,110,305,139,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16037,16037,1113,132,301,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16038,16038,750,96,301,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16039,16039,876,106,300,134,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16040,16040,1083,122,303,137,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16041,16041,742,107,302,136,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16042,16042,576,92,300,134,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16043,16043,719,89,301,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16044,16044,981,115,307,141,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/15/2024
16045,16045,561,62,310,129,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16046,16046,854,108,313,132,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16047,16047,872,111,317,136,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16048,16048,812,100,313,132,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16049,16049,1104,144,311,130,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16050,16050,1005,123,310,129,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16051,16051,682,85,308,127,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16052,16052,994,119,315,134,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16053,16053,602,87,316,135,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16054,16054,735,97,311,130,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16055,16055,767,82,309,128,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16056,16056,804,98,311,130,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16057,16057,750,95,315,134,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16058,16058,905,117,310,129,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16059,16059,691,86,310,129,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16060,16060,773,105,308,127,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16061,16061,931,109,311,130,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16062,16062,607,87,311,130,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16063,16063,511,77,309,128,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16064,16064,603,89,311,130,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16065,16065,879,107,319,138,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Grain Maturity,06/30/2024
16066,16066,453,0,117,57,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16067,16067,693,0,119,59,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16068,16068,344,0,111,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16069,16069,261,0,117,57,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16070,16070,717,0,121,61,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16071,16071,483,0,124,64,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16072,16072,230,0,121,61,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16073,16073,609,0,127,67,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16074,16074,572,0,114,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16075,16075,535,0,106,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16076,16076,580,0,130,70,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16077,16077,170,0,125,65,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16078,16078,368,0,108,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16079,16079,215,0,114,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16080,16080,595,0,115,55,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16081,16081,653,0,122,62,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16082,16082,580,0,120,60,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16083,16083,605,0,109,49,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16084,16084,419,0,115,55,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16085,16085,337,0,116,56,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16086,16086,472,0,111,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/01/2024
16087,16087,514,0,123,53,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16088,16088,654,0,124,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16089,16089,431,0,118,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16090,16090,199,0,122,52,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16091,16091,732,0,126,56,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16092,16092,491,0,129,59,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16093,16093,246,0,125,55,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16094,16094,600,0,129,59,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16095,16095,552,0,120,50,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16096,16096,605,0,116,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16097,16097,513,0,133,63,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16098,16098,154,0,128,58,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16099,16099,375,0,113,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16100,16100,265,0,121,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16101,16101,504,0,120,50,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16102,16102,657,0,129,59,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16103,16103,551,0,126,56,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16104,16104,576,0,114,44,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16105,16105,360,0,122,52,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16106,16106,350,0,122,52,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16107,16107,534,0,121,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,03/15/2024
16108,16108,469,0,137,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16109,16109,532,0,135,44,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16110,16110,463,0,133,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16111,16111,215,0,134,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16112,16112,662,0,142,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16113,16113,557,0,141,50,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16114,16114,418,0,138,47,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16115,16115,514,0,137,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16116,16116,626,0,136,45,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16117,16117,600,0,135,44,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16118,16118,481,0,142,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16119,16119,193,0,139,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16120,16120,162,0,131,40,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16121,16121,470,0,135,44,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16122,16122,586,0,137,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16123,16123,567,0,141,50,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16124,16124,413,0,137,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16125,16125,649,0,138,47,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16126,16126,163,0,137,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16127,16127,438,0,135,44,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16128,16128,463,0,137,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/01/2024
16129,16129,393,0,144,39,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16130,16130,562,0,144,39,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16131,16131,488,0,145,40,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16132,16132,277,0,147,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16133,16133,624,0,150,45,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16134,16134,532,0,153,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16135,16135,401,0,147,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16136,16136,427,0,146,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16137,16137,722,0,150,45,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16138,16138,465,0,145,40,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16139,16139,566,0,153,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16140,16140,292,0,147,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16141,16141,353,0,146,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16142,16142,518,0,146,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16143,16143,472,0,148,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16144,16144,631,0,150,45,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16145,16145,465,0,148,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16146,16146,641,0,151,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16147,16147,179,0,148,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16148,16148,555,0,145,40,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16149,16149,369,0,146,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,04/15/2024
16150,16150,438,0,161,40,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16151,16151,781,0,162,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16152,16152,738,0,163,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16153,16153,708,0,167,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16154,16154,850,0,167,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16155,16155,579,0,166,45,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16156,16156,398,0,162,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16157,16157,460,0,162,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16158,16158,842,0,170,49,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16159,16159,508,0,163,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16160,16160,748,0,169,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16161,16161,439,0,164,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16162,16162,592,0,163,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16163,16163,655,0,164,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16164,16164,363,0,164,43,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16165,16165,655,0,163,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16166,16166,587,0,163,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16167,16167,509,0,167,46,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16168,16168,427,0,165,44,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16169,16169,399,0,162,41,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16170,16170,536,0,163,42,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/01/2024
16171,16171,350,0,182,47,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16172,16172,922,0,186,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16173,16173,1064,0,187,52,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16174,16174,968,0,189,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16175,16175,1026,0,187,52,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16176,16176,848,0,184,49,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16177,16177,783,0,187,52,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16178,16178,647,0,183,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16179,16179,1039,0,189,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16180,16180,511,0,186,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16181,16181,841,0,185,50,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16182,16182,671,0,185,50,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16183,16183,902,0,183,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16184,16184,887,0,184,49,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16185,16185,231,0,182,47,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16186,16186,590,0,182,47,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16187,16187,870,0,186,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16188,16188,438,0,184,49,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16189,16189,662,0,184,49,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16190,16190,551,0,183,48,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16191,16191,731,0,185,50,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,05/15/2024
16192,16192,251,0,203,51,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
16193,16193,513,0,205,53,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
16194,16194,886,0,206,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
16195,16195,944,0,206,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
16196,16196,1202,0,205,53,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
16197,16197,1013,0,204,52,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
16198,16198,848,0,206,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
16199,16199,750,0,206,54,Jay (WFREC),IH Williams,160/m2 (14.8/sqft),0 Kg/ha (0 LB/acre),Flowering,06/01/2024
