"","TRNO","location","cultivar","density","nitrogen","harvest","Mean_CWAD","Median_CWAD","SD_CWAD","Min_CWAD","Max_CWAD","Mean_GWAD","Median_GWAD","SD_GWAD","Min_GWAD","Max_GWAD","Count","planting","avg_planting_to_harvest"
"220",4,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",10906.6842105263,11006,993.316893187868,8884,12343,1444.36842105263,1505,285.676820225294,711,1824,19,"15-April",122.473684210526
"221",5,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",10597.6842105263,10561,907.062294359077,9035,12000,1393.10526315789,1435,242.54848192036,739,1680,19,"01-May",121.052631578947
"222",6,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",10493.6315789474,10366,933.905075507398,8735,11948,1419.31578947368,1415,171.083492492726,1126,1702,19,"15-May",122.210526315789
"223",7,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",10460.8421052632,10600,794.522936048062,9152,11540,1446.63157894737,1449,199.661438586622,1060,1793,19,"01-June",125.052631578947
"224",8,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",10118,10428,754.916846046268,8726,11099,1419.10526315789,1437,198.207213327882,989,1679,19,"15-June",124.631578947368
"225",9,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",9367.63157894737,9786,738.734594539602,7935,10291,1340.57894736842,1368,151.663119295318,1045,1581,19,"30-June",121.947368421053
"226",11,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1128.84210526316,1135,266.368846851691,693,1581,0,0,0,0,0,19,"01-March",44.4210526315789
"227",12,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1185.31578947368,1215,256.689187893231,730,1558,0,0,0,0,0,19,"15-March",42.2631578947368
"228",13,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1297.42105263158,1363,257.72537403417,665,1739,0,0,0,0,0,19,"01-April",39.2105263157895
"229",14,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1302.47368421053,1300,250.66519689752,660,1694,0,0,0,0,0,19,"15-April",37.7894736842105
"230",15,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1225.68421052632,1283,283.281966447954,655,1642,0,0,0,0,0,19,"01-May",36.2631578947368
"231",16,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1299.05263157895,1337,289.786793979492,860,1776,0,0,0,0,0,19,"15-May",37
"232",17,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1643.26315789474,1655,364.769309458467,849,2295,0,0,0,0,0,19,"01-June",39.8947368421053
"233",18,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1637.63157894737,1655,327.415843390212,1008,2072,0,0,0,0,0,19,"15-June",39.5789473684211
"234",19,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",1342.94736842105,1352,199.939011168742,965,1693,0,0,0,0,0,19,"30-June",37.2105263157895
"235",21,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4601.52631578947,4987,942.387651330447,2427,5816,1416.21052631579,1501,326.464832025913,768,1872,19,"01-March",92.4210526315789
"236",22,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4709.63157894737,5012,955.236922939732,2266,6195,1505.84210526316,1534,341.876888685889,764,2020,19,"15-March",90.1052631578947
"237",23,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4798.8947368421,4972,938.477543372885,2467,6410,1545.89473684211,1674,347.625100541252,797,2104,19,"01-April",86.1578947368421
"238",24,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4751,4833,877.24663958699,2366,6031,1490.57894736842,1538,352.887346800879,769,2120,19,"15-April",84.5263157894737
"239",25,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4670.31578947368,4741,865.941045762841,2692,5905,1385.68421052632,1359,340.063401381366,828,1913,19,"01-May",83.1578947368421
"240",26,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4404.84210526316,4324,808.907374395164,3145,5615,1246.78947368421,1334,342.653790119183,519,1762,19,"15-May",82.3157894736842
"241",27,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4533.47368421053,4436,772.366160172827,3295,5827,1331.89473684211,1357,254.666643703499,799,1713,19,"01-June",82.9473684210526
"242",28,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4539.05263157895,4483,801.591228168088,3068,5792,1356.84210526316,1359,264.889549971701,905,1829,19,"15-June",83.3684210526316
"243",29,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Grain Maturity",4306.42105263158,4240,605.539274420328,3309,5478,1252,1264,247.637503890936,607,1687,19,"30-June",83.1052631578947
"244",31,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",663.894736842105,679,152.597835552162,396,906,0,0,0,0,0,19,"01-March",39.9473684210526
"245",32,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",698.736842105263,713,169.993739134796,414,985,0,0,0,0,0,19,"15-March",38
"246",33,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",741.473684210526,769,153.146759105642,389,971,0,0,0,0,0,19,"01-April",35
"247",34,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",786.105263157895,799,143.53818490672,380,1014,0,0,0,0,0,19,"15-April",33.8947368421053
"248",35,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",755.263157894737,815,183.149860346737,392,1005,0,0,0,0,0,19,"01-May",32.4736842105263
"249",36,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",672.263157894737,728,173.021463699117,398,955,0,0,0,0,0,19,"15-May",31.7368421052632
"250",37,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",704.157894736842,678,144.758136657858,457,920,0,0,0,0,0,19,"01-June",31.9473684210526
"251",38,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",719.263157894737,763,172.403223128308,368,984,0,0,0,0,0,19,"15-June",32.1578947368421
"252",39,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","112 Kg/ha (100 LB/acre)","Flowering",704.894736842105,729,119.046627063536,485,901,0,0,0,0,0,19,"30-June",32
"253",1,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10798.6842105263,11027,1322.24611310668,7660,12363,1565.84210526316,1553,252.920335098688,1020,1975,19,"01-March",130.210526315789
"254",2,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10900.2105263158,11143,1281.61216091068,7878,12906,1572.63157894737,1611,255.202362085532,1034,1979,19,"15-March",127.684210526316
"255",3,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10954.7894736842,10958,1048.02478654676,8523,12624,1504.31578947368,1635,258.710273951293,896,1868,19,"01-April",123.894736842105
"256",4,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10904.7894736842,11006,1001.1304487621,8884,12344,1444.31578947368,1505,285.715486421871,711,1824,19,"15-April",122.473684210526
"257",5,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10597.6842105263,10562,906.7998096255,9034,12000,1393.05263157895,1435,242.496156598228,739,1680,19,"01-May",121.052631578947
"258",6,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10493.5789473684,10366,933.743916582264,8735,11948,1419.31578947368,1415,171.083492492726,1126,1702,19,"15-May",122.210526315789
"259",7,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10449.4210526316,10601,789.512248570771,9152,11541,1446.63157894737,1449,199.661438586622,1060,1793,19,"01-June",125.052631578947
"260",8,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",10119,10428,755.394010507835,8726,11100,1419.26315789474,1437,198.1337489075,988,1679,19,"15-June",124.631578947368
"261",9,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",9368.36842105263,9787,738.673000162853,7936,10292,1340.68421052632,1368,151.505794766911,1045,1581,19,"30-June",121.947368421053
"262",11,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1129.05263157895,1135,266.747378136487,693,1585,0,0,0,0,0,19,"01-March",44.4210526315789
"263",12,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1187.36842105263,1215,259.814081075576,730,1594,0,0,0,0,0,19,"15-March",42.2631578947368
"264",13,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1297.47368421053,1363,257.698870005942,665,1739,0,0,0,0,0,19,"01-April",39.2105263157895
"265",14,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1302.26315789474,1300,250.773656711754,660,1694,0,0,0,0,0,19,"15-April",37.7894736842105
"266",15,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1225.68421052632,1283,283.281966447954,655,1642,0,0,0,0,0,19,"01-May",36.2631578947368
"267",16,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1299.10526315789,1337,289.789942072384,860,1776,0,0,0,0,0,19,"15-May",37
"268",17,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1643.36842105263,1655,364.695795687053,850,2295,0,0,0,0,0,19,"01-June",39.8947368421053
"269",18,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1637.73684210526,1656,327.49263640666,1008,2073,0,0,0,0,0,19,"15-June",39.5789473684211
"270",19,"Belle Glade (EREC)","IH Williams","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",1343,1352,199.968330825992,965,1693,0,0,0,0,0,19,"30-June",37.2105263157895
"271",21,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4601.57894736842,4987,942.259478050822,2428,5816,1416.21052631579,1501,326.464832025913,768,1872,19,"01-March",92.4210526315789
"272",22,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4709.8947368421,5017,955.293782313229,2266,6195,1505.84210526316,1534,341.876888685889,764,2020,19,"15-March",90.1052631578947
"273",23,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4798.84210526316,4972,938.53486664398,2467,6410,1545.89473684211,1674,347.625100541252,797,2104,19,"01-April",86.1578947368421
"274",24,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4751.05263157895,4833,877.24470636978,2366,6031,1490.57894736842,1538,352.887346800879,769,2120,19,"15-April",84.5263157894737
"275",25,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4657.26315789474,4741,860.796584701588,2693,5905,1385.63157894737,1359,340.112107420531,828,1913,19,"01-May",83.1578947368421
"276",26,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4404.68421052632,4324,809.239015140602,3144,5616,1246.73684210526,1334,342.670532096431,519,1762,19,"15-May",82.3157894736842
"277",27,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4533.26315789474,4436,772.770617260119,3295,5828,1332,1357,254.621069216373,799,1713,19,"01-June",82.9473684210526
"278",28,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4539.21052631579,4483,801.717917900705,3068,5793,1356.94736842105,1360,264.960473715569,905,1829,19,"15-June",83.3684210526316
"279",29,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Grain Maturity",4306.52631578947,4240,605.632302127386,3309,5478,1252,1264,247.637503890936,607,1687,19,"30-June",83.1052631578947
"280",31,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",663.894736842105,679,152.597835552162,396,906,0,0,0,0,0,19,"01-March",39.9473684210526
"281",32,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",698.736842105263,713,169.993739134796,414,985,0,0,0,0,0,19,"15-March",38
"282",33,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",741.473684210526,769,153.146759105642,389,971,0,0,0,0,0,19,"01-April",35
"283",34,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",786.105263157895,799,143.53818490672,380,1014,0,0,0,0,0,19,"15-April",33.8947368421053
"284",35,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",755.263157894737,815,183.149860346737,392,1005,0,0,0,0,0,19,"01-May",32.4736842105263
"285",36,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",672.263157894737,728,173.021463699117,398,955,0,0,0,0,0,19,"15-May",31.7368421052632
"286",37,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",704.157894736842,678,144.758136657858,457,920,0,0,0,0,0,19,"01-June",31.9473684210526
"287",38,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",719.263157894737,763,172.403223128308,368,984,0,0,0,0,0,19,"15-June",32.1578947368421
"288",39,"Belle Glade (EREC)","NWG 2730","120/m2 (11.2/sqft)","56 Kg/ha (50 LB/acre)","Flowering",704.947368421053,729,119.017493431386,485,901,0,0,0,0,0,19,"30-June",32
"289",1,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",8926.8947368421,9175,1391.79164687251,5712,11150,1122.42105263158,1152,233.354359954858,641,1540,19,"01-March",130.263157894737
"290",2,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",9059.47368421053,9346,1317.46572244767,5887,11165,1146.78947368421,1193,236.797282958176,644,1526,19,"15-March",127.684210526316
"291",3,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",9230.15789473684,9303,1115.45517680541,6528,11002,1102.73684210526,1227,232.635585819267,561,1436,19,"01-April",123.894736842105
"292",4,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",9197.57894736842,9406,1059.81855448046,6906,10729,1074.15789473684,1138,245.03180364051,424,1413,19,"15-April",122.473684210526
"293",5,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",8898.36842105263,8800,1012.06577577889,7185,10432,1042.52631578947,1077,211.888956353467,439,1302,19,"01-May",121.052631578947
"294",6,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",8856.1052631579,8893,1033.6243619601,6967,10414,1052.05263157895,1093,195.648628834736,556,1333,19,"15-May",122.210526315789
"295",7,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",8959,9202,948.071375653402,7538,10275,1138.52631578947,1128,194.654499739939,744,1475,19,"01-June",125
"296",8,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",8602,8929,928.76321584735,7042,9803,1118.78947368421,1144,197.394016274098,652,1364,19,"15-June",124.631578947368
"297",9,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",7761.15789473684,8140,821.218421558134,6194,8816,1016.63157894737,1026,146.712951229534,702,1286,19,"30-June",121.947368421053
"298",11,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",469.421052631579,466,131.614046780507,260,691,0,0,0,0,0,19,"01-March",44.4210526315789
"299",12,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",498.157894736842,519,128.570025519124,284,684,0,0,0,0,0,19,"15-March",42.2631578947368
"300",13,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",551.157894736842,585,127.127784863147,259,782,0,0,0,0,0,19,"01-April",39.2105263157895
"301",14,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",554.842105263158,553,123.910479853578,257,759,0,0,0,0,0,19,"15-April",37.7894736842105
"302",15,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",521.368421052632,565,138.279993943977,255,736,0,0,0,0,0,19,"01-May",36.2631578947368
"303",16,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",563.526315789474,589,149.868968109943,348,817,0,0,0,0,0,19,"15-May",37
"304",17,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",762.684210526316,756,212.629320814829,322,1177,0,0,0,0,0,19,"01-June",39.8947368421053
"305",18,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",756.210526315789,762,204.676052702087,299,1085,0,0,0,0,0,19,"15-June",39.5789473684211
"306",19,"Belle Glade (EREC)","IH Williams","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",586.947368421053,585,111.584284877302,386,770,0,0,0,0,0,19,"30-June",37.2105263157895
"307",21,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2318.68421052632,2518,605.714459005193,1063,3337,680.842105263158,713,193.164657210686,327,1010,19,"01-March",92.4210526315789
"308",22,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2415.63157894737,2588,631.436036219234,987,3517,731.894736842105,808,199.7361856541,322,1043,19,"15-March",90.1052631578947
"309",23,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2516.63157894737,2610,630.80541202201,1079,3673,772,836,192.574660846125,347,1105,19,"01-April",86.1578947368421
"310",24,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2500.73684210526,2536,580.085131884897,1043,3437,745.526315789474,751,203.143454627253,324,1108,19,"15-April",84.5263157894737
"311",25,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2463.10526315789,2442,592.987717198711,1194,3392,687.789473684211,694,196.997343170852,352,1004,19,"01-May",83.1578947368421
"312",26,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2278,2182,566.365900574296,1384,3158,604.368421052632,641,185.934041628362,213,916,19,"15-May",82.3157894736842
"313",27,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2382.15789473684,2298,564.168046591901,1432,3310,647.789473684211,643,158.017080281907,328,880,19,"01-June",82.9473684210526
"314",28,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2390,2370,607.55036371024,1234,3312,668.157894736842,680,174.046054938818,308,954,19,"15-June",83.3684210526316
"315",29,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",2242.68421052632,2181,446.791034008266,1530,3244,618,595,141.839894090328,270,858,19,"30-June",83.1052631578947
"316",31,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",252,255,65.1442843062826,142,358,0,0,0,0,0,19,"01-March",39.9473684210526
"317",32,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",266.473684210526,270,72.1736858950166,150,389,0,0,0,0,0,19,"15-March",38
"318",33,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",284,292,64.7499463749242,142,382,0,0,0,0,0,19,"01-April",35
"319",34,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",301.526315789474,303,59.7358708734195,139,401,0,0,0,0,0,19,"15-April",33.8947368421053
"320",35,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",289.315789473684,313,76.3719353861082,143,402,0,0,0,0,0,19,"01-May",32.4736842105263
"321",36,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",255,274,71.2257756090526,146,375,0,0,0,0,0,19,"15-May",31.7368421052632
"322",37,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",268.473684210526,256,61.1567825084318,164,360,0,0,0,0,0,19,"01-June",31.9473684210526
"323",38,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",273.789473684211,296,78.179692551745,108,392,0,0,0,0,0,19,"15-June",32.1578947368421
"324",39,"Belle Glade (EREC)","NWG 2730","40/m2 (3.7/sqft)","0 Kg/ha (0 LB/acre)","Flowering",269.210526315789,278,52.4145642899719,176,366,0,0,0,0,0,19,"30-June",32
"325",1,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",10170.0526315789,10403,1378.57561247044,6986,12208,1415.73684210526,1423,249.956183294696,883,1848,19,"01-March",130.263157894737
"326",2,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",10271,10531,1313.71868289135,7190,12354,1427.47368421053,1467,249.976969699444,892,1829,19,"15-March",127.684210526316
"327",3,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",10370.5263157895,10393,1081.61979191812,7841,12111,1366.15789473684,1488,250.980137141898,774,1723,19,"01-April",123.894736842105
"328",4,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",10348.7368421053,10490,1030.09599564017,8217,11837,1319.36842105263,1395,275.101841854635,605,1689,19,"15-April",122.473684210526
"329",5,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",10031.3684210526,9974,952.887262220943,8408,11461,1281.68421052632,1327,224.337556332609,627,1544,19,"01-May",121.052631578947
"330",6,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",9957.47368421053,9897,985.113776193787,8136,11505,1300.10526315789,1312,172.600983239391,999,1590,19,"15-May",122.210526315789
"331",7,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",9970.05263157895,10162,860.458629238837,8622,11146,1354.21052631579,1353,188.828722787895,952,1692,19,"01-June",125
"332",8,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",9634.1052631579,9939,813.556451277479,8151,10692,1319.05263157895,1343,197.277715609299,876,1578,19,"15-June",124.631578947368
"333",9,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Grain Maturity",8834.63157894737,9190,769.61745262943,7361,9813,1241.05263157895,1256,145.738911788708,926,1480,19,"30-June",121.947368421053
"334",11,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Flowering",835.789473684211,836,214.616603620753,489,1194,0,0,0,0,0,19,"01-March",44.4210526315789
"335",12,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Flowering",880.526315789474,900,206.670797921357,524,1180,0,0,0,0,0,19,"15-March",42.2631578947368
"336",13,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Flowering",969.263157894737,1022,206.100256645822,478,1330,0,0,0,0,0,19,"01-April",39.2105263157895
"337",14,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Flowering",973.631578947368,971,199.854449961943,475,1289,0,0,0,0,0,19,"15-April",37.7894736842105
"338",15,"Belle Glade (EREC)","IH Williams","80/m2 (7.4/sqft)","0 Kg/ha (0 LB/acre)","Flowering",913.947368421053,957,225.179551490265,471,1255,0,0,0,0,0,19,"01-May",36.2631578947368
